participant,slide,order,grade,probCC,probHCC,diag,gt,name,type,mode,accuracy,errortype,errormodel
P8Test1_02282019,slide3.4,1,2,0.0001655819942,0.9998344183,1,1,GI Specialist 1,1,0,1,0,0
P2Test2_02182019,slide2.4,0,2,0.0001826289954,0.9998173714,1,1,Trainee 3,3,1,1,0,0
P2Test2_02182019,slide2.4,0,2,0.0001826289954,0.9998173714,1,1,Trainee 3,3,0,1,0,0
P3Test1_02212019,slide1.2,1,1,0.0002018810046,0.9997981191,1,1,None-GI Specialist 3,4,1,1,0,0
P3Test1_02212019,slide1.2,1,1,0.0002018810046,0.9997981191,1,1,None-GI Specialist 3,4,0,1,0,0
P4Test1_02242019,slide5.8,1,2,0.0002081989951,0.999791801,1,1,GI Specialist 3,1,1,1,0,0
P4Test1_02242019,slide5.8,1,2,0.0002081989951,0.999791801,1,1,GI Specialist 3,1,0,1,0,0
P6Test2_02262019,slide6.10,0,1,0.0002192560059,0.9997807145,1,1,None-GI Specialist 4,2,1,1,0,0
P6Test2_02262019,slide6.10,0,1,0.0002192560059,0.9997807145,0,1,None-GI Specialist 4,2,0,0,1,0
P8Test2_02022019,slide4.7,0,1,0.0002375250042,0.9997624755,1,1,GI Specialist 1,1,1,1,0,0
P8Test2_02022019,slide4.7,0,1,0.0002375250042,0.9997624755,1,1,GI Specialist 1,1,0,1,0,0
P2Test2_02182019,slide6.1,0,2,0.0002493259963,0.9997506738,1,1,Trainee 3,3,1,1,0,0
P2Test2_02182019,slide6.1,0,2,0.0002493259963,0.9997506738,1,1,Trainee 3,3,0,1,0,0
